nombre,codigo_partido,coalicion,partidos_coalicion,tradicional,temporalidad,gradonac,ideologia,paso_ideologia,justificacion_ideologia,grupo_representativo_1,paso1_gr,justificacion_gr_1,grupo_representativo_2,paso2_gr,justificacion_gr_2,part_alcaldia,part_asamblea,part_camara,part_concejo,part_gobernacion,part_presidencia,part_presidencia_1v,part_presidencia_2v,part_senado,fuente_ideologia,fuente_gr,nombre_upper,votos_alcaldia,votos_asamblea,votos_camara,votos_concejo,votos_gobernacion,votos_presidencia,votos_senado
ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS,20150620,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,0,1,0,0,0,0,,,ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS,0,0,0,0,0,0,0
ADELANTE CHIA,20110135,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ADELANTE CHIA,0,0,0,3585,0,0,0
ADELANTE DOSQUEBRADAS,20110136,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ADELANTE DOSQUEBRADAS,0,0,0,6433,0,0,0
ADELANTE OIBA,20070378,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ADELANTE OIBA,3672,0,0,0,0,0,0
ADELANTE VALLEDUPAR,20070412,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ADELANTE VALLEDUPAR,0,0,0,0,0,0,0
ADRIANA RAMIREZ SUAREZ ALCALDESA,20070352,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ADRIANA RAMIREZ SUAREZ ALCALDESA,2362,0,0,0,0,0,0
AFRO CIMARRÓN PUTUMAYO,20220142,0,,0,2022-2022,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,1,TRUE,,0,0,1,0,0,0,0,0,0,https://www.argenismontenegro.com/propuestas,,AFRO CIMARRÓN PUTUMAYO,0,0,0,0,0,0,0
AFRODES CAPÍTULO TUMACO ÉTNICO,20220199,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,1,TRUE,,0,0,1,0,0,0,0,0,0,,,AFRODES CAPÍTULO TUMACO ÉTNICO,0,0,0,0,0,0,0
AFROVISION,20020147,0,,0,2002-2002,0,4,,,1,1,"El partido se autodefine a sí mismo como perteneciente a alguna categoría, utilizando su nombre o eslogan",99,,,0,0,1,0,0,0,0,0,0,,,AFROVISION,0,0,8293,0,0,0,0
AGENCIA AFROCOLOMBIANA EMPRESA ASOCIATIVA DE TRABAJO ACN - EAT,20180054,0,,0,2018-2018,0,4,,,1,1,"El partido se autodefine a sí mismo como perteneciente a alguna categoría, utilizando su nombre o eslogan",99,,,0,0,1,0,0,0,0,0,0,,,AGENCIA AFROCOLOMBIANA EMPRESA ASOCIATIVA DE TRABAJO ACN - EAT,0,0,3201,0,0,0,0
AGUA DE DIOS PARA TODOS,20150658,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,AGUA DE DIOS PARA TODOS,0,0,0,279,0,0,0
AHORA LE TOCA AL PUEBLO,20110137,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,AHORA LE TOCA AL PUEBLO,2054,0,0,0,0,0,0
"AHORA SÍ, TODOS POR EL CAMBIO",20150085,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,"AHORA SÍ, TODOS POR EL CAMBIO",0,0,0,0,0,0,0
ALCALDE GUERRERO,20110138,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALCALDE GUERRERO,245016,0,0,0,0,0,0
ALCALDIA BUCARAMANGA-SANTANDER.CANDIDATO INDEPENDIENTE,20000190,0,,0,2000-2000,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ALCALDIA BUCARAMANGA-SANTANDER.CANDIDATO INDEPENDIENTE,100981,0,0,168,0,0,0
ALCALDIA DE HERRAN-SANTANDER.SI SE PUEDE,20070097,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALCALDIA DE HERRAN-SANTANDER.SI SE PUEDE,1049,0,0,0,0,0,0
ALIANZA ALTERNATIVA POR EL CARMEN,20191929,0,,0,2019-2019,99,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALIANZA ALTERNATIVA POR EL CARMEN,0,0,0,0,0,0,0
ALIANZA BARBOSA CIVICA,20150006,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA BARBOSA CIVICA,5791,0,0,0,0,0,0
ALIANZA CIUDADANA POR ARAUCA,20110112,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,0,1,0,0,0,0,,,ALIANZA CIUDADANA POR ARAUCA,0,0,0,0,8768,0,0
ALIANZA CIVICA POPULAR GAITANISTA,19900064,0,,0,1990-1990,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,ALIANZA CIVICA POPULAR GAITANISTA,0,0,0,0,0,0,0
ALIANZA CIVICA POR ENVIGADO,20110139,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALIANZA CIVICA POR ENVIGADO,0,0,0,5536,0,0,0
ALIANZA CON DIGNIDAD POR UN ALDANA MEJOR,20110098,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA CON DIGNIDAD POR UN ALDANA MEJOR,1914,0,0,0,0,0,0
ALIANZA DE INTEGRACION DEMOCRATICA POR LOS PALMITOS,20110140,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA DE INTEGRACION DEMOCRATICA POR LOS PALMITOS,5922,0,0,0,0,0,0
ALIANZA DE IZQUIERDA,19700006,0,,0,1970-1970,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,ALIANZA DE IZQUIERDA,0,0,0,0,0,0,0
ALIANZA DEMOCRATICA,19860010,0,,0,1986-1986,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,1,,,ALIANZA DEMOCRATICA,0,0,0,0,0,0,0
ALIANZA DEMOCRATICA AFROCOLOMBIANA - ADA,20180047,0,,0,2019-2022,0,4,,,1,1,"El partido se autodefine a sí mismo como perteneciente a alguna categoría, utilizando su nombre o eslogan",99,,,1,1,1,1,1,0,0,0,0,,,ALIANZA DEMOCRATICA AFROCOLOMBIANA - ADA,0,0,0,0,0,0,0
ALIANZA GOBIERNO DE TODOS Y PARA TODOS,20110072,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,0,1,0,0,0,0,,,ALIANZA GOBIERNO DE TODOS Y PARA TODOS,0,0,0,0,150470,0,0
ALIANZA MORAL POR COLOMBIA AMOR,19940039,0,,0,1994-1994,0,4,,,99,,,99,,,0,0,1,0,0,0,0,0,1,,,ALIANZA MORAL POR COLOMBIA AMOR,0,0,3254,0,0,0,11981
ALIANZA NACIONAL AFROCOLOMBIANA,20220002,0,,0,2022-2022,0,4,,,99,,,99,,,0,0,1,0,0,0,0,0,0,,,ALIANZA NACIONAL AFROCOLOMBIANA,0,0,2976,0,0,0,0
ALIANZA NACIONAL POPULAR - ANAPO,19610001,0,,0,1970-2006,0,1,2,Se revisan los estatutos de los partidos y se asigna la etiqueta de izquierda si al menos tres posiciones políticas coinciden con ciertos criterios. Se clasifica como partido de derecha si al menos tres de las posiciones cumplen con ciertos criterios. Los partidos que no cumplen con al menos tres de dichas posiciones no son clasificados como de izquierda ni de derecha.,98,,,98,,,1,1,1,1,0,1,0,0,1,"IDEARIO-DE-UNIDAD.pdf (polodemocratico.net),https://es.wikipedia.org/wiki/Alianza_Nacional_Popular,1_5.pdf (archivodelosddhh.gov.co)",https://repositorio.unal.edu.co/bitstream/handle/unal/3116/04CAPI03.pdf?sequence=4&isAllowed=y,ALIANZA NACIONAL POPULAR - ANAPO,257902,1278134,487975,1318342,0,2053634,739515
ALIANZA PARA EL PROGRESO,20150443,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA PARA EL PROGRESO,2923,0,0,0,0,0,0
ALIANZA PARA EL PROGRESO SOCIAL,20150514,0,,0,2015-2015,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,"https://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL27133ZZZZZZZZZZZZ_L1.htm,https://docplayer.es/19436838-Alianza-para-el-progreso-social.html,
",,ALIANZA PARA EL PROGRESO SOCIAL,1845,0,0,0,0,0,0
ALIANZA PARA LA PROSPERIDAD,20110046,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA PARA LA PROSPERIDAD,3823,0,0,0,0,0,0
ALIANZA POLITICA POR TURBO,20150044,0,,0,2015-2015,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,"https://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01280ZZZZZZZZZZZZ_L1.htm,https://turboantioquia.micolombiadigital.gov.co/sites/turboantioquia/content/files/000061/3043_01plan-de-desarrollo-municipio-de-turbo-2016--2019.pdf,https://www.elcolombiano.com/antioquia/imputan-cargos-de-peculado-contra-el-alcalde-de-turbo-alejandro-abuchar-AI19004343",,ALIANZA POLITICA POR TURBO,24572,0,0,0,0,0,0
ALIANZA POR AMOR A APARTADO,20150757,0,,0,2015-2015,99,4,,,99,,,99,,,0,0,0,0,0,0,0,0,0,,,ALIANZA POR AMOR A APARTADO,0,0,0,0,0,0,0
ALIANZA POR BARRANCABERMEJA,20150659,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALIANZA POR BARRANCABERMEJA,0,0,0,14174,0,0,0
ALIANZA POR BELEN,20070361,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA POR BELEN,1540,0,0,0,0,0,0
ALIANZA POR FLORENCIA,20150155,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA POR FLORENCIA,7292,0,0,0,0,0,0
ALIANZA POR GUAITARILLA,20110114,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA POR GUAITARILLA,4687,0,0,0,0,0,0
ALIANZA POR LA GLORIA,20070357,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA POR LA GLORIA,6221,0,0,0,0,0,0
ALIANZA POR LA RECONSTRUCCION DE GRANADA,20150246,0,,0,2015-2015,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,"https://www.datos.gov.co/api/file_data/78881ef4-76de-4f73-83e2-384056b9d947?filename=PLAN%2520DE%2520DESARROLLO%25202016-2019.compressed.pdf,https://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL15132ZZZZZZZZZZZZ_L1.htm,
",,ALIANZA POR LA RECONSTRUCCION DE GRANADA,1878,0,0,0,0,0,0
ALIANZA POR LAS SOLUCIONES PARA CALARCA,20110102,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA POR LAS SOLUCIONES PARA CALARCA,4346,0,0,0,0,0,0
ALIANZA POR MANIZALES,20150145,0,,0,2015-2015,0,3,5,"Es posible encontrar fuentes secundarias (prensa, documentos académicos, etc.) donde se habla de la tendencia ideológica de los PMC",98,,,98,,,1,0,0,0,0,0,0,0,0,"https://issuu.com/lapatria/docs/completocompleto_an__lisisplanesgob,https://www.eje21.com.co/2015/10/candidatos-a-alcaldia-presentaron-propuestas-sobre-educacion-y-desarrollo-economico/,https://www.lasillavacia.com/quien-es-quien/luis-roberto-rivas",,ALIANZA POR MANIZALES,44255,0,0,0,0,0,0
ALIANZA POR MOSQUERA,20110141,0,,0,2011-2011,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALIANZA POR MOSQUERA,0,0,0,2509,0,0,0
ALIANZA POR NATAGAIMA,20150655,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALIANZA POR NATAGAIMA,0,0,0,197,0,0,0
ALIANZA POR SONSON,20070005,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ALIANZA POR SONSON,3708,0,0,1172,0,0,0
ALIANZA RESERVA ACCION CIVICA,19940067,0,,0,1994-1994,0,4,,,99,,,99,,,0,0,1,0,0,0,0,0,0,,,ALIANZA RESERVA ACCION CIVICA,0,0,9895,0,0,0,0
ALIANZA SOCIAL AMIGOS POR COTA - ASAC,20110142,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ALIANZA SOCIAL AMIGOS POR COTA - ASAC,2821,0,0,601,0,0,0
ALIANZA SOCIAL DE PARTICIPACION COMUNITARIA,20030006,0,,0,2003-2003,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA SOCIAL DE PARTICIPACION COMUNITARIA,649,0,0,0,0,0,0
ALIANZA SOCIAL POR BOSCONIA,20150185,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA SOCIAL POR BOSCONIA,187,0,0,0,0,0,0
ALIANZA SOCIAL POR REMEDIOS,20070330,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA SOCIAL POR REMEDIOS,3104,0,0,0,0,0,0
ALIANZA SOCIAL SUCREÑA,20150177,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA SOCIAL SUCREÑA,0,0,0,0,0,0,0
ALIANZA SOCIAL Y CIUDADANA POR EL DONCELLO,20070340,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA SOCIAL Y CIUDADANA POR EL DONCELLO,2404,0,0,0,0,0,0
ALIANZA VICTOR VELEZ ALCALDE,20110048,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALIANZA VICTOR VELEZ ALCALDE,10260,0,0,0,0,0,0
ALPUJARRA VIVE PARA TODOS,20150541,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALPUJARRA VIVE PARA TODOS,1441,0,0,0,0,0,0
ALTERNATIVA LIBERAL DEL PUEBLO,19920008,0,,0,1992-1992,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALTERNATIVA LIBERAL DEL PUEBLO,0,0,0,14561,0,0,0
ALTERNATIVA LIBERAL PARA EL CAMBIO SOCIAL,20070332,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ALTERNATIVA LIBERAL PARA EL CAMBIO SOCIAL,2276,0,0,0,0,0,0
ALTERNATIVA SOCIAL,20070457,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,ALTERNATIVA SOCIAL,0,0,0,525,0,0,0
ALTERNATIVOS,20220003,0,,0,2022-2022,0,4,,,99,,,99,,,0,0,1,0,0,0,0,0,0,,,ALTERNATIVOS,0,0,0,25679,37328,0,0
AMANECER DORADO,20070419,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,AMANECER DORADO,0,0,0,1209,0,0,0
AMIGOS DE COGUA,20150227,0,,0,2015-2015,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,"http://sabanacentrocomovamos.org/home/wp-content/uploads/2016/11/Cogua.pdf,
,
",,AMIGOS DE COGUA,4682,0,0,0,0,0,0
AMIGOS DE LA U,20070410,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,AMIGOS DE LA U,0,0,0,488,0,0,0
AMIGOS DE NEMOCON,20070426,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,AMIGOS DE NEMOCON,0,0,0,2227,0,0,0
AMIGOS POR BOYACA,20070010,0,,0,2007-2007,0,4,,,99,,,99,,,0,0,0,0,1,0,0,0,0,,,AMIGOS POR BOYACA,0,0,0,0,11884,0,0
AMIGOS POR CAÑASGORDAS,20070326,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,AMIGOS POR CAÑASGORDAS,0,0,0,0,0,0,0
AMO EL RETIRO,20150660,0,,0,2015-2015,0,4,,,99,,,99,,,0,0,0,1,0,0,0,0,0,,,AMO EL RETIRO,0,0,0,381,0,0,0
ANAL' ASOCIACIÓN NACIONAL DE ABO. LIT,19900049,0,,0,1990-1990,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,ANAL' ASOCIACIÓN NACIONAL DE ABO. LIT,0,0,0,0,0,0,0
ANAPOIMA ATRACTIVA,20110143,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ANAPOIMA ATRACTIVA,246,0,0,0,0,0,0
ANAPOIMA DE CARA AL FUTURO,20070011,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,1,0,0,0,0,0,,,ANAPOIMA DE CARA AL FUTURO,1796,0,0,1401,0,0,0
ANDEMVI,20220207,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,99,,,0,0,1,0,0,0,0,0,0,,,ANDEMVI,0,0,87,0,0,0,0
ANDRES PRESIDENTE,19940083,0,,0,1994-1994,99,4,,,99,,,99,,,0,0,0,0,0,1,0,0,0,,,ANDRES PRESIDENTE,0,0,0,0,0,0,0
ANOLAIMA,20150204,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ANOLAIMA,2247,0,0,0,0,0,0
ANUCOL,20020148,0,,0,2002-2002,0,4,,,1,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,99,,,0,0,1,0,0,0,0,0,0,,,ANUCOL,0,0,4406,0,0,0,0
APERTURA NACIONAL,20000846,0,,0,2000-2000,99,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,APERTURA NACIONAL,0,0,0,0,0,0,0
API. MOV DE PART. COM. UNA PROP,19900072,0,,0,1990-1990,99,4,,,99,,,99,,,0,1,0,0,0,0,0,0,0,,,API. MOV DE PART. COM. UNA PROP,0,0,0,0,0,0,0
APIA SOMOS TODOS,20150465,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,APIA SOMOS TODOS,2949,0,0,0,0,0,0
ARBOLEDA DE TODOS Y PARA TODOS,20150409,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ARBOLEDA DE TODOS Y PARA TODOS,1188,0,0,0,0,0,0
ARBOLEDAS RENACE,20150432,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ARBOLEDAS RENACE,2489,0,0,0,0,0,0
ARMENIA AVANZA,20110144,0,,0,2011-2011,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ARMENIA AVANZA,41338,0,0,6939,0,0,0
ARMENIA PARA VIVIR Y CRECER,20070367,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ARMENIA PARA VIVIR Y CRECER,8051,0,0,0,0,0,0
ARRIBA BUCARAMANGA,20070374,0,,0,2007-2007,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ARRIBA BUCARAMANGA,52487,0,0,0,0,0,0
ASI DARA UN CAMBIO RADICAL,20150156,0,,0,2015-2015,0,4,,,99,,,99,,,1,0,0,0,0,0,0,0,0,,,ASI DARA UN CAMBIO RADICAL,724,0,0,0,0,0,0
ASI GANAMOS TODOS,20150582,0,,0,2015-2015,0,3,3,"Se revisan los planes de gobierno de cada partido para cada municipio o elección y se clasifican como de izquierda o derecha según criterios del paso anterior. Si no encajan en ninguna de las dos categorías, se les cataloga como sin ideología definida.",98,,,98,,,1,0,0,0,0,0,0,0,0,"
,
,
",,ASI GANAMOS TODOS,1082,0,0,0,0,0,0
ASOC. AGROPECUARIA MUJERES VÍCTIMAS DE JERICÓ - ASOMUVIJ,20220118,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,6,TRUE,,0,0,1,0,0,0,0,0,0,https://www.camara.gov.co/representantes?location=p167,,ASOC. AGROPECUARIA MUJERES VÍCTIMAS DE JERICÓ - ASOMUVIJ,0,0,0,0,0,0,0
ASOC. CAMPESINA PARA EL DESARROLLO AGROPECUARIO DE SIMITÍ,20220226,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,5,TRUE,,0,0,1,0,0,0,0,0,0,,,ASOC. CAMPESINA PARA EL DESARROLLO AGROPECUARIO DE SIMITÍ,0,0,0,0,0,0,0
ASOC. COM. MUJERES VÍCTIMAS CONFLICTO ARMADO CHARCO NARIÑO,20220279,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,6,TRUE,,0,0,1,0,0,0,0,0,0,,,ASOC. COM. MUJERES VÍCTIMAS CONFLICTO ARMADO CHARCO NARIÑO,0,0,0,0,0,0,0
ASOC. DESPLAZADOS POR VIOLENCIA RADICADOS EN AGUSTÍN CODAZZI,20220208,0,,0,2022-2022,0,4,,,7,2,El partido se ha lanzado por alguna circunscripción especial que lo vincule a cierto grupo identitario,99,,,0,0,1,0,0,0,0,0,0,,,ASOC. DESPLAZADOS POR VIOLENCIA RADICADOS EN AGUSTÍN CODAZZI,0,0,0,0,0,0,0
